NVRID,NAMN,SKYDDSTYP,BESLSTATUS,URSBESLDAT,URSGALLDAT,SENGALLDAT,LAN,KOMMUN,IUCNKAT,FORVALTARE,AREA_HA,LAND_HA,VATTEN_HA,SKOG_HA,GEOSTATUS,DIARIENR,LAGRUM,BESLMYND
2000117,Asunden,Naturreservat,Gällande,"""1930-12-31T00:00:00.000Z""","""1930-12-31T00:00:00.000Z""","""1930-12-31T00:00:00.000Z""",Gotlands Län,Gotland,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Gotlands län,7.95,3.43,4.5,0,Justerad mot fastighetskarta,37/24 BD   I 19,Naturvårdslagen,Länsstyrelse
2000623,Hammarberget,Naturreservat,Gällande,"""1993-10-26T00:00:00.000Z""","""1993-12-26T00:00:00.000Z""","""1993-12-26T00:00:00.000Z""",Stockholms Län,Tyresö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Stockholms län,57.87,37.54,20.36,25.047,Justerad mot fastighetskarta,231-1991-1435,Naturvårdslagen,Länsstyrelse
2000926,Linsellborren,Naturreservat,Gällande,"""2001-11-26T00:00:00.000Z""","""2002-01-05T00:00:00.000Z""","""2002-01-05T00:00:00.000Z""",Jämtlands Län,Härjedalen,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Jämtlands län,237.49,80.95,156.56,69.17,Justerad mot fastighetskarta,231-6981-00,Miljöbalken,Länsstyrelse
2001027,Mellersta Hällberget domänreservat,Naturreservat,Gällande,"""1997-01-10T00:00:00.000Z""","""1997-01-31T00:00:00.000Z""","""1997-01-31T00:00:00.000Z""",Norrbottens Län,Överkalix,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Norrbottens län,20.97,20.97,0,20.934,Slutligt inmätt,2312-11558-96,Naturvårdslagen,Länsstyrelse
2005519,Askholmen,Naturreservat,Gällande,"""2006-09-11T00:00:00.000Z""","""2006-11-02T00:00:00.000Z""","""2006-11-02T00:00:00.000Z""",Södermanlands Län,Eskilstuna,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Södermanlands län,116.17,112.51,3.75,77.929,Slutligt inmätt,511-2096-2004,Miljöbalken,Länsstyrelse
2025329,Yxsjön,Naturreservat,Gällande,"""2014-05-12T00:00:00.000Z""","""2014-06-06T00:00:00.000Z""","""2014-06-06T00:00:00.000Z""",Västra Götalands Län,Härryda,"Ia, Strikt naturreservat (Strict Nature Reserve)",Västkuststiftelsen,153.55,127.28,26.25,123.608,Slutligt inmätt,511-23286-2012,Miljöbalken,Länsstyrelse
2002871,Västerby lövskogar,Naturreservat,Gällande,"""2004-05-17T00:00:00.000Z""","""2004-07-14T00:00:00.000Z""","""2004-07-14T00:00:00.000Z""",Östergötlands Län,Linköping,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Östergötlands län,175.48,122.59,53.03,92.174,Slutligt inmätt,511-03613-03,Miljöbalken,Länsstyrelse
2000207,Järleån,Naturreservat,Gällande,"""1976-03-19T00:00:00.000Z""","""1976-03-19T00:00:00.000Z""","""1976-03-19T00:00:00.000Z""",Örebro Län,Nora,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Örebro län,108.03,92.22,15.72,63.295,Justerad mot fastighetskarta,"11.111-605-71, RrT 120",Naturvårdslagen,Länsstyrelse
2001013,Tervajoki,Naturreservat,Gällande,"""1997-12-05T00:00:00.000Z""","""1997-12-29T00:00:00.000Z""","""1997-12-29T00:00:00.000Z""",Norrbottens Län,Pajala,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Norrbottens län,75.82,75.76,0,63.372,Justerad mot fastighetskarta,2312-12226-96,Naturvårdslagen,Länsstyrelse
2002195,Tullgarn,Naturreservat,Gällande,"""1984-12-18T00:00:00.000Z""","""1985-04-17T00:00:00.000Z""","""1985-04-17T00:00:00.000Z""",Stockholms Län,Södertälje,"V, Skyddat landskap/havsområde (Protected Landscape/Seascape)",Länsstyrelsen i Stockholms län,744.07,394.49,349.62,167.703,Justerad mot fastighetskarta,11.1211-398-77   0181-02-003,Naturvårdslagen,Länsstyrelse
2002331,Oxhagsberget,Naturreservat,Gällande,"""1960-04-26T00:00:00.000Z""","""1960-04-26T00:00:00.000Z""","""2006-07-25T00:00:00.000Z""",Jönköpings Län,Vetlanda,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Jönköpings län,3.88,3.89,0,3.883,Slutligt inmätt,511-11425-05,Miljöbalken,Länsstyrelse
2000955,Nämdö,Naturreservat,Gällande,"""2002-03-22T00:00:00.000Z""","""2003-05-08T00:00:00.000Z""","""2003-05-08T00:00:00.000Z""",Stockholms Län,Värmdö,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Skärgårdsstiftelsen i Stockholms län,2277.23,494.1,1783.09,276.864,Slutligt inmätt,18513-2000-48319,Miljöbalken,Länsstyrelse
2005566,Vargkitteln,Naturreservat,Gällande,"""2006-12-08T00:00:00.000Z""","""2007-01-11T00:00:00.000Z""","""2007-01-11T00:00:00.000Z""",Örebro Län,Örebro,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Örebro län,29.47,29.42,0,28.584,Slutligt inmätt,5112-16107-2006,Miljöbalken,Länsstyrelse
2003022,Stormyrhögen,Naturreservat,Gällande,"""2009-05-13T00:00:00.000Z""","""2009-06-10T00:00:00.000Z""","""2009-06-10T00:00:00.000Z""",Jämtlands Län,Strömsund,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Länsstyrelsen i Jämtlands län,35.91,35.92,0,35.59,Slutligt inmätt,511-11777-08,Miljöbalken,Länsstyrelse
2042346,Vikskvarn,Naturreservat,Gällande,"""2014-05-15T00:00:00.000Z""","""2015-02-26T00:00:00.000Z""","""2015-02-26T00:00:00.000Z""",Jönköpings Län,Nässjö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Jönköpings län,72.12,70.03,2.02,69.486,Ospecificerad,511-5286-2012,Miljöbalken,Länsstyrelse
2000669,Fågelsången,Naturreservat,Gällande,"""1998-02-12T00:00:00.000Z""","""1998-02-12T00:00:00.000Z""","""1998-02-12T00:00:00.000Z""",Västernorrlands Län,Timrå,"0, Områden som ej kan klassificeras enligt IUCN: s system.",Timrå kommun,55.75,51.63,4.13,29.289,Ospecificerad,265-97,Naturvårdslagen,Kommun
2023129,Sigfride,Naturreservat,Gällande,"""2010-09-06T00:00:00.000Z""","""2010-09-30T00:00:00.000Z""","""2010-09-30T00:00:00.000Z""",Gotlands Län,Gotland,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Gotlands län,130.92,130.68,0,82.632,Slutligt inmätt,511-933-09,Miljöbalken,Länsstyrelse
2014724,Stuverydsbäcken,Naturreservat,Gällande,"""2009-04-20T00:00:00.000Z""","""2009-05-22T00:00:00.000Z""","""2009-05-22T00:00:00.000Z""",Jönköpings Län,Eksjö,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Jönköpings län,116.32,116.09,0.21,111.368,Slutligt inmätt,511-19830-06,Miljöbalken,Länsstyrelse
2000915,Helvetesbrännan,Naturreservat,Gällande,"""2000-12-18T00:00:00.000Z""","""2001-02-01T00:00:00.000Z""","""2001-02-01T00:00:00.000Z""",Jämtlands Län,Bräcke,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Jämtlands län,998.76,921.8,76.99,823.215,Justerad mot fastighetskarta,231-3318-00,Miljöbalken,Länsstyrelse
2002481,Gummas,Naturreservat,Gällande,"""1996-09-02T00:00:00.000Z""","""1996-10-01T00:00:00.000Z""","""1996-10-01T00:00:00.000Z""",Dalarnas Län,Älvdalen,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Dalarnas län,21.85,21.03,0.8,20.543,Slutligt inmätt,231-2911-96,Naturvårdslagen,Länsstyrelse
2014736,Granbergsbranten,Naturreservat,Gällande,"""2009-12-08T00:00:00.000Z""","""2010-01-01T00:00:00.000Z""","""2010-01-01T00:00:00.000Z""",Norrbottens Län,Boden,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Norrbottens län,62.37,62.3,0,61.555,Slutligt inmätt,511-7561-09,Miljöbalken,Länsstyrelse
2002381,Rocknenområdet,Naturreservat,Gällande,"""1977-06-20T00:00:00.000Z""","""1977-07-21T00:00:00.000Z""","""1995-04-28T00:00:00.000Z""",Kronobergs Län,Ljungby,"III, Naturmonument (Natural Monument)",Länsstyrelsen i Kronobergs län,334.37,333.19,1.21,163.093,Slutligt inmätt,231-6253-94 / 511-998-04,Naturvårdslagen,Länsstyrelse
2002282,Länsmansgårdsängen,Naturreservat,Gällande,"""1965-02-10T00:00:00.000Z""","""1965-02-10T00:00:00.000Z""","""2015-04-06T00:00:00.000Z""",Kalmar Län,Hultsfred,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Länsstyrelsen i Kalmar län,3.98,4.02,0,3.716,Slutligt inmätt,512-3090-2014,Miljöbalken,Länsstyrelse
2000076,Käringahejan,Naturreservat,Gällande,"""1996-12-19T00:00:00.000Z""","""1997-04-28T00:00:00.000Z""","""2008-03-10T00:00:00.000Z""",Blekinge Län,"Karlshamn, Olofström","III, Naturmonument (Natural Monument)",Länsstyrelsen i Blekinge län,139.38,120.64,18.88,116.071,Justerad mot fastighetskarta,231-2732-94,Miljöbalken,Länsstyrelse
2001029,Naakakero,Naturreservat,Gällande,"""1998-06-05T00:00:00.000Z""","""1998-06-26T00:00:00.000Z""","""1998-06-26T00:00:00.000Z""",Norrbottens Län,Pajala,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Norrbottens län,346.11,346.11,0,251.226,Slutligt inmätt,231-11560-97,Naturvårdslagen,Länsstyrelse
2001961,Fjärås Bräcka,Naturreservat,Gällande,"""1976-02-19T00:00:00.000Z""","""1976-02-19T00:00:00.000Z""","""2009-01-16T00:00:00.000Z""",Hallands Län,Kungsbacka,"IV, Habitat/Artskyddsområde (Habitat/Species Management Area)",Naturvårdsverket,126.8,122.94,3.85,37.394,Slutligt inmätt,511-4810-06,Miljöbalken,Länsstyrelse
2001890,Rismyran,Naturreservat,Gällande,"""2002-12-17T00:00:00.000Z""","""2003-01-14T00:00:00.000Z""","""2007-02-09T00:00:00.000Z""",Västerbottens Län,Malå,"Ia, Strikt naturreservat (Strict Nature Reserve)",Länsstyrelsen i Västerbottens län,289.08,281.43,7.66,179.449,Slutligt inmätt,511-2529-2004,Miljöbalken,Länsstyrelse
2001238,Kaitum fjällurskog,Naturreservat,Gällande,"""2000-04-28T00:00:00.000Z""","""2000-05-19T00:00:00.000Z""","""2000-05-19T00:00:00.000Z""",Norrbottens Län,Gällivare,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Norrbottens län,89954.93,85710.15,4244.43,9833.185,Justerad mot fastighetskarta,231-4713-99,Naturvårdslagen,Länsstyrelse
2001048,Akkelis fjällurskog,Naturreservat,Gällande,"""2000-04-28T00:00:00.000Z""","""2000-05-19T00:00:00.000Z""","""2000-05-19T00:00:00.000Z""",Norrbottens Län,Arjeplog,"Ib, Vildmarksområde (Wilderness Area)",Länsstyrelsen i Norrbottens län,5580.88,5453.81,127.07,1045.531,Slutligt inmätt,231-4703-99,Naturvårdslagen,Länsstyrelse
